url_id,total_meters,price,floor,floors_count,rooms_count
298881519,77.0,80768900,4,8,2
298908066,28.0,6500000,2,17,1
299013088,52.0,47000000,4,4,2
299019109,31.2,19500000,10,25,1
299025994,27.0,6333000,2,8,1
299027789,28.0,6950000,2,8,1
299147133,31.0,8700000,8,9,1
299251187,45.0,15700000,13,14,2
299556015,39.1,8800000,1,14,1
299654390,30.0,9150000,2,9,1
299655879,46.0,31000000,14,24,2
299973610,70.0,9450000,13,17,2
300005751,71.0,55000000,7,7,3
300013327,56.2,30000000,3,5,2
300018901,54.4,54400000,4,9,2
300069188,35.6,8500000,2,4,1
300288478,28.0,5600000,1,6,1
300337168,28.0,6000000,3,6,1
300349520,64.2,18700000,4,12,3
300834452,48.0,42000000,3,3,2
301107943,95.5,29900000,5,31,3
301135318,32.5,7200000,1,9,1
301254008,66.0,33900000,4,22,2
301301345,91.3,46000000,4,19,3
301573903,80.0,70000000,5,6,3
301704043,32.9,9100000,7,9,1
301952287,63.0,21800000,6,24,1
302038626,71.4,13990000,1,4,2
302081797,69.4,69900000,2,10,2
302195149,35.0,9700000,5,24,1
302269443,38.4,8990000,2,10,1
302300251,88.7,75000000,9,9,3
302338028,50.0,10950000,4,12,2
302366565,38.0,12800000,1,14,2
302376298,33.1,8350000,6,9,1
302385657,24.1,7990000,2,18,1
302453838,88.0,42000000,11,37,3
302552929,90.0,80000000,2,7,3
302756395,31.6,8000000,1,9,1
302777738,42.0,14700000,4,9,2
302817609,97.0,97000000,3,17,3
302818689,75.0,22300000,16,17,3
303069476,60.0,60000000,10,10,2
303139463,35.0,8700000,7,14,1
303370489,44.9,5700000,3,3,1
303396280,45.4,8300000,9,12,1
303440761,32.2,9200000,1,9,1
303442634,74.4,20500000,5,12,3
303447463,71.0,46500000,28,39,3
303477912,40.74,24500000,8,13,2
303582296,66.3,28300000,21,42,3
303679672,34.5,8260000,5,8,1
303765580,86.0,60000000,6,6,3
303773278,54.7,25680000,9,26,2
303775433,64.0,3100000,11,12,-1
303849492,76.5,24999999,9,17,3
303869601,97.5,85000000,3,17,3
303902409,81.2,59900000,12,12,3
303957847,92.1,96705000,8,15,3
304067577,96.0,51750000,4,8,3
304074417,55.5,24000000,23,31,3
304128142,26.7,7900000,4,8,1
304156404,36.9,22300000,13,13,1
304224403,94.2,67000000,1,19,2
304283080,66.2,54500000,7,27,3
304320920,66.0,29100000,3,41,2
304329886,77.2,90706200,4,8,2
